Name,Manufacturer,Category,Sorted Category,Tags,Sorted Tags,Parent,Model,Series / Collection,Plugin Notes,Workflow Notes,Recording Notes,Form Factor,Format,Version,,,,,,,,,
UltraTap,Eventide,Delay,Delay,,,,,,Multi-tap delay line effects processor w/ multi-voice detune modulation and tremolo,,,Plugin,"AU, VST3",2.10.4,,,,,,,,,
Undulator,Eventide,Modulation,Modulation,Modeled,Modeled,,Eventide H3000 Ultra-Harmonizer,,"Modulated tremolo w/ feedback, detune and delay",Eventide H3000 Ultra-Harmonizer TOP,,Plugin,"AU, VST3",1.3.4,,,,,,,,,
Micro,FabFilter,Modulation,Modulation,,,,,,LP/HP Filter w/ envelope follower modulation,,,Plugin,"AU, VST3",1.30,,,,,,,,,
Pro-C 2,FabFilter,Dynamics,Dynamics,Mastering,Mastering,,,,Mastering Compressor w/ 8 styles (saturation),,,Plugin,"AU, VST3",2.20,,,,,,,,,
Pro-C 3,FabFilter,Dynamics,Dynamics,Mastering,Mastering,,,,Mastering Compressor w/ 14 styles (saturation),,,Plugin,"AU, VST3",3.00,,,,,,,,,
Pro-DS,FabFilter,"Dynamics, EQ","Dynamics, EQ","Mastering, Voice","Mastering, Voice",,,,Mastering De-Esser (single vocal vs. all around),,,Plugin,"AU, VST3",1.30,,,,,,,,,
Pro-G,FabFilter,Dynamics,Dynamics,Mastering,Mastering,,,,Mastering Gate/Expander w/ 6 algorithms (saturation),,,Plugin,"AU, VST3",1.40,,,,,,,,,
Pro-L 2,FabFilter,Dynamics,Dynamics,Mastering,Mastering,,,,Mastering Peak Limiter w/ 8 algorithms (saturation),,,Plugin,"AU, VST3",2.24,,,,,,,,,
Pro-MB,FabFilter,Dynamics,Dynamics,Mastering,Mastering,,,,Mastering Multiband (6) Compressor / Expander w/ 3 processing modes,,,Plugin,"AU, VST3",1.31,,,,,,,,,
Pro-Q 4,FabFilter,"Dynamics, EQ","Dynamics, EQ",Mastering,Mastering,,,,"Mastering (24-band) EQ w/ analog modeling, dynamic + spectral EQ and linear phase processing",,,Plugin,"AU, VST3",4.10,,,,,,,,,
Pro-R 2,FabFilter,Reverb & Room,Reverb & Room,,,,,,"3 types of convolution reverb (modern, vintage, plate)",,,Plugin,"AU, VST3",2.04,,,,,,,,,
